Palette: 6
waterColorOverride: 0.5019608, 0.40784314, 0.24313726
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.01
overseersMin: 0
overseersMax: 1
earlyCycleChance: 0.0
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.01
pupSpawnChance: 0.1
Room_Attr: CC_C05: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Like,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,MirosVulture-Like,
Room_Attr: CC_C07: WhiteLizard-Like,CyanLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_C08_EARLYFALL: PinkLizard-Like,CyanLizard-Like,BigSpider-Avoid,SpitterSpider-Avoid,MirosVulture-Avoid,
Room_Attr: CC_C09_EARLYFALL: WhiteLizard-Like,CyanLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,MirosVulture-Like,
Room_Attr: CC_C13_EARLYFALL: BigSpider-Stay,SpitterSpider-Stay,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_CLOG: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Like,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Avoid,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,

Room_Attr: CC_D01_EARLYFALL: Vulture-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,

Room_Attr: CC_F01: SmallNeedleWorm-Like,BigNeedleWorm-Like,MirosVulture-Avoid,

Room_Attr: CC_OUTPUT: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Like,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Avoid,SmallCentipede-Avoid,KingVulture-Forbidden,

Room_Attr: CC_S03: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_S06: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_SHAFT01x_EARLYFALL: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Forbidden,Vulture-Avoid,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,
Room_Attr: CC_STRAINER01_EARLYFALL: BlueLizard-Like,Salamander-Avoid,Vulture-Forbidden,Centipede-Like,Centiwing-Like,SmallCentipede-Like,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Like,KingVulture-Forbidden,
Room_Attr: CC_STRAINER02_EARLYFALL: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Like,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_STRAINER03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Like,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_SUMP01: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Like,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Avoid,SmallCentipede-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_SUMP02: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,Centipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: CC_SUMP03: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Like,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Avoid,Scavenger-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_SUMP04_EARLYFALL: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Like,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: CC_SUMP05_EARLYFALL: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Avoid,Vulture-Avoid,Centipede-Like,Centiwing-Like,SmallCentipede-Like,KingVulture-Avoid,

Room_Attr: GATE_CC_SI: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Scavenger-Forbidden,
